Frame,ts,capsfilter0,queue0,vaapipostproc0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
164,10112712697,0.105706,0.258486,1.81583,0.22136,4.651808,0.559645,0.528414,0.20355,0.110178,,
165,10146003745,0.111529,0.267812,2.494454,0.217107,4.731898,0.569141,0.526913,0.172289,0.088048,,
166,10180625545,0.112496,0.271629,1.773747,0.219782,4.933671,0.604918,0.4774,0.173603,0.089077,,
167,10213788726,0.113598,0.27344,1.864959,0.239686,5.177332,0.683947,0.538317,0.166547,0.088897,,
168,10248214182,0.136789,0.258322,2.118495,0.214407,4.769588,0.518676,1.353203,0.185274,0.147475,,
169,10282372027,0.110734,0.257448,1.742175,0.259354,5.120677,2.153387,3.101128,0.15786,0.08463,,
170,10320385287,0.110236,0.256447,2.53301,0.219835,4.491509,0.516003,0.550978,0.741486,0.364129,,
171,10349236975,0.110346,0.256032,1.832818,0.210622,5.655736,0.538984,0.427362,0.156442,0.083577,,
172,10383352475,0.173625,0.361562,2.343693,0.267794,5.284984,0.54683,0.56654,0.154441,0.083364,,
173,10417565068,0.208726,0.571222,2.774077,0.533599,5.74413,1.212813,1.404433,0.150878,0.083832,,
174,10454808894,0.327708,0.73965,3.293321,0.454381,6.91914,2.341593,1.379325,0.419527,0.279042,,
175,10491602695,0.646944,1.587032,7.703617,1.467937,12.856098,1.939048,1.276484,0.570243,0.24927,,
176,10538516932,0.642985,1.967356,11.283585,1.148825,12.520394,0.833589,1.167651,1.43951,0.347694,,
177,10573936783,0.48885,1.141609,6.408091,1.259627,11.109182,0.903962,1.000084,0.949137,0.331527,,
178,10599706818,0.526602,1.466723,6.97832,1.080382,12.956357,4.161917,3.241091,0.394606,0.292491,,
179,10642746427,0.303409,1.089672,5.990466,0.990435,12.949169,0.773353,0.963326,1.228239,0.552259,,
180,10667846863,0.274894,0.914581,5.879046,0.98272,11.700838,0.961194,1.007933,0.339555,0.173635,,
181,10700217127,0.188109,0.736043,9.998977,1.009536,11.5191,0.992393,1.187851,0.343981,0.170732,,
182,10737961285,0.171693,0.757266,6.423162,1.199426,7.813984,0.990463,0.741793,0.411819,0.169952,,
183,10764188565,0.191539,0.728324,6.479932,1.001618,8.383604,2.759518,1.037942,0.341012,0.17044,,
184,10800404084,0.155847,0.373229,5.273913,0.773343,6.821849,0.686194,0.51052,0.464382,0.076763,,
185,10830064625,0.100359,0.352082,5.116503,0.814729,6.825064,0.634064,0.621079,0.200014,1.341625,,
186,10861667203,0.148204,0.400208,5.276018,0.71216,6.705796,0.630986,0.544113,0.209763,0.120261,,
187,10895331798,0.14102,0.372678,5.206231,0.831502,6.481151,0.631139,0.533521,0.186033,0.118415,,
188,10930151188,0.143358,0.386643,5.150576,0.736427,7.036215,0.64005,0.72801,1.347901,0.249604,,
189,10963357051,0.145551,0.543837,5.289328,0.776162,6.480957,0.670219,0.496719,0.237903,0.12767,,
190,10996629355,0.150253,0.363785,5.129778,0.713082,6.882115,1.414816,1.85403,0.191946,0.072939,,
191,11033224212,0.149192,0.334054,5.165737,0.752699,6.731035,1.427335,1.427798,0.686587,0.329758,,
192,11066177591,,,,,,,,0.473122,0.26599,,
193,11071021091,,,,,,,,0.288534,0.348527,,
194,11073402793,0.101666,0.369323,5.17539,0.741794,7.199582,1.478073,2.077467,0.466293,0.322457,,
195,11101450941,0.144346,0.323164,5.236402,0.737198,7.201909,1.479573,2.291477,0.718439,0.300807,,
196,11135303390,0.101657,0.54328,5.466079,0.720919,6.677935,1.545728,1.85653,0.591089,0.307526,,
197,11168543134,0.100495,0.384526,5.220454,0.776451,7.70489,1.380034,2.041009,0.523212,0.283888,,
198,11203076534,0.145412,0.349699,5.100307,0.769811,6.554177,1.410283,1.785041,0.589085,0.279497,,
199,11235270202,0.143397,0.291899,5.344778,0.754376,7.732235,1.399726,2.138872,0.529916,0.294381,,
200,11270855714,0.143343,0.403227,5.473052,0.762985,6.438759,1.382272,1.834896,0.632611,0.292454,,
201,11303163819,0.141109,0.321222,5.485019,0.761181,6.772024,1.445562,1.909558,0.529731,0.299532,,
202,11337467232,0.151039,0.346659,5.159115,0.756443,11.461526,0.86512,1.619926,0.612466,0.324908,,
203,11374605670,0.15284,0.34758,5.30043,0.671265,6.474614,1.599004,1.692774,0.555256,0.263712,,
204,11404471481,0.101079,0.368085,5.241609,0.736664,6.486316,1.417777,1.834261,0.564893,0.455533,,
205,11438027121,0.101859,0.316591,5.129353,0.828139,6.067898,1.42252,1.888584,0.565798,0.276109,,
206,11471333196,0.102513,0.415944,5.076845,0.746452,6.351542,1.452894,1.620678,0.495659,0.29022,,
207,11505209103,0.153738,0.330435,5.067249,0.794737,6.293505,1.426488,1.617557,0.562954,0.308068,,
208,11538806516,0.155627,0.360584,5.275681,0.748687,6.145206,1.525785,1.285875,0.539253,0.286605,,
209,11572337812,0.095328,0.316093,5.181611,0.897853,5.833183,1.429935,1.38683,0.494208,0.278585,,
210,11605783487,0.151246,0.333314,5.245743,0.767333,6.492917,1.574397,1.744047,0.484636,0.295079,,
211,11640763741,0.100239,0.329332,5.159436,0.764468,7.086184,1.516265,2.250784,0.558182,0.278076,,
212,11675526237,0.13877,0.504996,5.346697,0.729142,6.445584,1.578499,1.736846,0.58994,0.293358,,
213,11708640883,0.100523,0.313096,5.21057,0.77629,6.528746,1.398503,1.718319,0.550501,0.43805,,
214,11741856596,0.139789,0.306852,5.104939,0.832945,6.165424,1.438805,1.704843,0.584229,0.269329,,
215,11775342291,0.157812,0.354946,5.100065,0.753754,12.327308,0.80493,1.710232,0.642975,0.287561,,
216,11814555075,0.152613,0.340292,5.184414,0.737744,6.567486,1.460895,1.858047,0.544526,0.280977,,
217,11843409002,0.150585,0.307264,5.204579,0.729662,6.931385,1.31978,1.875687,0.558638,0.28886,,
218,11877421936,0.14141,0.34481,5.165857,0.934908,6.298238,1.415267,1.694073,0.608766,0.25772,,
219,11910640246,0.101249,0.373351,5.112082,0.770316,6.881105,1.500464,1.897404,0.590675,0.270436,,
220,11945164515,0.146479,0.328178,5.447318,0.739817,6.252865,1.362291,1.711426,0.61719,0.295833,,
221,11978158481,0.099101,0.342594,5.08712,0.856036,6.514887,1.569717,1.659022,0.52233,0.296567,,
222,12012136751,0.101031,0.322635,5.324773,0.794349,6.63534,1.364415,1.870715,0.540956,0.295846,,
223,12046188759,0.139415,0.306331,5.047178,0.833784,6.729349,1.556761,1.280333,0.556668,0.285123,,
224,12079464595,,,,,,,,0.596185,0.300535,,
225,12084220528,,,,,,,,0.300505,0.361536,,
