Frame,ts,rtpsession0,rtpstorage0,rtpssrcdemux0,rtpjitterbuffer0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
272,1259827469,,,,3.565398,0.098719,0.07984,,,,,,,,
273,1260193900,,,,3.797173,0.080063,0.08432,,,,,,,,
274,1260605195,,,,4.071732,0.086175,0.082943,,,,,,,,
275,1260981641,,,,4.041684,0.084768,0.08336,,,,,,,,
276,1261363464,,,,4.272371,0.08528,0.087456,,,,,,,,
277,1261754183,,,,4.50789,0.08592,0.0896,,,,15.524466,,,,
278,1262195782,,,,4.829458,0.131487,0.087936,,,,,0.378527,0.152959,,
279,1262709604,,,,5.193264,0.113215,0.097888,,,,,,,,
280,1263120835,,,,5.49176,0.091168,0.090016,,,,,,,,
281,1263419042,0.070976,0.095008,0.049728,5.805359,0.087936,,,,,,,,,
282,1263641250,0.032991,0.041184,0.059776,,0.115551,0.090048,,,,,,,,
283,1263873345,0.0264,0.039296,0.02672,6.062702,0.084992,0.091328,,,,,,,,
284,1264487615,,,,6.328365,0.08672,0.087328,,,,,,,,
285,1264861854,,,,6.551404,0.086912,0.081696,,,,,,,,
286,1265246877,,,,6.813356,0.08448,0.086688,,,,,,,,
287,1265662652,,,,7.047435,0.088831,0.117056,,,,,,,,
288,1266047130,,,,7.346795,0.08304,0.083295,,,,,,,,
289,1266428633,,,,7.589066,0.085952,0.086943,0.177183,3.063127,0.079392,,,,,
290,1270241262,,,,11.281662,0.088896,0.094752,,,,,,,,
291,1270619437,,,,11.557086,0.108352,0.084448,,,,,,,,
292,1271013900,,,,11.807709,0.080063,0.082304,0.079104,0.597022,0.070592,,,,,
293,1272177608,,,,8.512135,0.081216,0.101695,,,,,,,,
294,1272521383,,,,8.681574,0.073504,0.076736,,,,,,,,
295,1272854950,,,,8.879909,0.073088,0.074976,0.067616,0.319775,0.05232,10.569697,15.098035,,17.868107,2.661816
296,1280791663,,,,,,,,,,9.294565,0.190047,0.197632,,
297,1281609100,0.12128,0.221695,0.0664,0.067584,0.141248,0.167551,,,,10.03309,0.299871,0.173983,,
298,1283819526,0.047904,0.040448,0.030047,0.07312,0.070336,0.093056,,,,,0.310303,0.161184,,
299,1285403905,0.079968,0.061504,0.034816,0.029984,0.056575,0.054208,,,,,,,,
300,1285722976,0.075904,0.157695,0.058656,0.038464,,,,,,,,,,
301,1285879648,0.034432,0.035424,0.029599,0.132224,0.053567,0.059552,,,,,,,,
302,1286126975,0.043616,0.040352,0.030528,,0.052384,0.054976,,,,,,,,
303,1286328702,0.027935,0.110112,0.093056,0.143999,0.081824,0.05184,,,,,,,,
304,1286613565,0.043775,0.043456,0.080128,0.135167,0.051872,0.05184,,,,,,,,
