Frame,ts,capsfilter0,queue0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,tee1,funnel0
179,11776687967,0.137856,0.273429,5.931206,0.252618,3.887201,0.657143,0.310948,0.433096,0.287696,,
180,11808122634,0.144636,0.269753,5.919486,0.246511,3.919068,0.614686,0.295293,0.173426,0.073286,,
181,11843112301,0.15056,0.275229,5.921842,0.283953,4.047599,1.602515,0.959289,0.155585,0.103514,,
182,11877957170,0.152168,0.282828,6.084338,0.245042,4.144681,1.270859,0.987628,0.425,0.27723,,
183,11911713852,0.102793,0.325658,5.82748,0.334598,4.130418,1.416327,0.920251,0.477673,0.265402,,
184,11945369857,0.145704,0.266903,5.895171,0.24036,4.104221,1.260955,0.980146,0.440034,0.276357,,
185,11978983667,0.093264,0.370565,5.948148,0.248849,4.237712,1.98388,0.342877,0.509515,0.308751,,
186,12012438648,0.13415,0.263187,5.811035,0.253109,3.981931,0.617368,0.210096,0.154997,0.071944,,
187,12046447865,0.324898,0.572824,6.061847,0.295873,4.072298,0.654425,0.228775,0.148898,0.174712,,
188,12079281224,0.308403,0.514423,6.063082,0.245197,3.891376,0.663819,0.211753,0.153072,0.115594,,
189,12112607260,0.296852,0.740392,6.067667,0.248616,4.049268,0.620053,0.258559,0.210318,0.073361,,
190,12146742342,0.34372,0.510302,6.051505,0.244112,3.981338,0.662558,0.270125,0.186928,0.077533,,
191,12180822502,0.316754,1.010517,6.468359,0.247174,4.681863,0.538474,0.295128,0.114579,0.119017,,
192,12217133220,0.223766,0.333699,6.112908,0.293068,6.744693,0.565188,0.384319,0.181416,0.111076,,
193,12250406051,,,,,,,,0.165737,0.073074,,
194,12256130310,,,,,,,,0.127736,0.189775,,
195,12256814872,0.145308,0.319236,7.147733,0.247236,4.544296,0.38355,0.310555,0.131336,0.167257,,
196,12282848937,0.240557,0.448656,6.008441,0.25422,5.508252,0.357392,0.35625,0.349618,0.142284,,
197,12316448007,0.15425,0.324976,6.034851,0.293437,4.382331,0.47687,0.299402,0.158504,0.072258,,
198,12349021544,0.16545,0.331835,5.97956,0.249009,4.596874,0.403216,0.312774,0.174732,0.114435,,
199,12383311310,0.305799,0.717692,6.060089,0.326982,4.941449,0.546994,0.350426,0.169494,0.122346,,
200,12417867325,0.151377,0.365525,5.841883,0.248878,4.838053,0.834208,0.517749,0.115784,0.121643,,
201,12451249118,0.154159,0.271285,5.955056,1.074162,4.654862,0.340338,0.347807,0.166201,0.127878,,
202,12484994670,0.157839,0.268566,5.979778,0.296327,4.73297,0.520359,0.34538,0.157314,0.071529,,
203,12518237919,0.145307,0.308008,5.870755,0.250106,4.645918,0.374205,0.302446,0.161236,0.071559,,
204,12551675721,0.151901,0.254984,5.848639,0.293407,4.678244,2.772104,0.440468,0.165508,0.120503,,
205,12589809237,0.097589,0.325454,5.83906,0.247164,4.884087,0.729428,0.376945,0.211522,0.110875,,
206,12619771338,0.101629,0.323371,6.638613,0.289867,4.717848,0.445204,0.400677,0.172272,0.071475,,
207,12653981134,0.174359,0.271116,5.891904,0.240932,4.400224,0.373083,0.348521,0.12159,0.115778,,
208,12686532005,0.104082,0.324746,5.981335,0.250873,6.900627,0.556505,0.41095,0.170777,0.089988,,
209,12723154852,0.146583,0.270365,5.995371,0.243666,4.932312,0.570779,0.392272,0.167785,0.072734,,
210,12756009573,0.141828,0.277425,5.906772,0.300323,4.572085,0.282078,0.264726,0.161715,0.07173,,
211,12787920945,0.154624,0.269495,6.767127,0.257881,3.989536,0.626387,0.211036,0.11294,0.117685,,
212,12822211843,0.103815,0.361357,5.831276,0.296026,4.675006,0.619698,0.212642,0.162589,0.068973,,
213,12855803896,0.140291,0.269981,5.958311,0.258966,4.042304,0.610604,0.266426,0.155255,0.070397,,
214,12888972870,0.144384,0.307412,5.84402,0.245762,3.889302,0.697651,0.238229,0.113329,0.162479,,
215,12923167133,0.148691,0.267921,5.960287,0.254861,4.012326,0.625296,0.222692,0.156876,0.071359,,
216,12958863581,0.256477,0.328601,5.883307,0.297824,3.872258,0.622803,0.220289,0.297041,0.077576,,0.191205
217,12990277009,0.148539,0.357681,6.011308,0.243422,4.034454,0.623002,0.214262,0.15745,0.069824,,
218,13024163827,0.148607,0.27303,5.879524,0.292942,3.923027,0.619016,0.25752,0.157289,0.069022,,
219,13057745894,0.133931,0.325841,7.680693,0.293597,3.880801,0.622474,0.210588,0.114678,0.114486,,
220,13093169275,0.158676,0.266297,5.864877,0.295781,3.860289,0.616782,0.210141,0.162795,0.07006,,
221,13126973243,0.101121,0.369306,5.926185,0.244013,3.460097,0.624574,0.215675,0.374754,0.080257,,
222,13158687388,0.147302,0.276278,6.266037,0.298005,3.274426,0.621689,0.207752,0.158282,0.146614,,
223,13192624616,0.146046,0.320624,5.858362,0.253116,4.053705,0.611847,0.274264,0.161167,0.156892,,
224,13226740993,0.140299,0.2734,5.93241,0.249993,4.10018,0.682283,0.290751,0.112147,0.194559,,
225,13260604525,,,,,,,,0.158571,0.117846,,
226,13269370604,,,,,,,,0.176147,0.188545,,
227,13269962707,0.152534,0.2674,5.822839,0.298243,3.978734,0.659032,0.310783,0.090898,0.12351,,
228,13294990927,0.144425,0.375375,5.866672,0.253031,4.023783,0.617646,0.217604,0.177229,0.111809,,
229,13328036189,0.153613,0.276691,6.810057,0.295549,3.891002,0.626476,0.222922,0.160921,0.111281,,
230,13362766354,0.153492,0.278366,5.983986,0.261647,4.950895,0.620277,0.230846,0.165625,0.242911,,
231,13396579390,0.13219,0.314895,5.883066,0.257426,4.044837,0.621354,0.320108,0.155081,0.116868,,
232,13429339621,0.142194,0.267767,5.883216,0.245889,3.480605,0.627489,0.219321,0.152561,0.072683,,
233,13462568621,0.100674,0.311983,5.814418,0.24914,3.535976,0.707728,0.226265,0.162209,0.112464,,
234,13498441202,0.152383,0.279695,5.913383,0.253292,3.877472,0.625185,0.220018,0.153271,0.069528,,
235,13530492094,0.146377,0.292487,6.710792,0.276621,3.888759,0.66223,0.220856,0.171648,0.108867,,
236,13565104819,0.130291,0.531188,17.743558,0.790225,5.148546,0.471457,0.16389,0.163593,0.073394,,
237,13611649658,0.100304,0.35277,17.748038,0.81599,5.092294,0.465851,0.163101,0.107845,0.068602,,
238,13645177492,0.142993,0.363283,17.732132,0.781031,5.110577,0.468631,0.16577,0.110144,0.06795,,
239,13679840754,0.098891,0.343332,19.138066,0.788168,5.036767,0.47661,0.229523,0.109634,0.069045,,
240,13714214001,0.101393,0.349902,17.913751,0.795705,5.161925,0.475854,0.166252,0.152139,0.131655,,
241,13746796561,0.143149,0.367218,18.137127,0.864367,5.204578,0.47273,0.166255,0.172801,0.07044,,
242,13780844416,0.14162,0.38367,17.481045,0.732912,5.260711,0.51604,0.167957,0.109112,0.068329,,
243,13813893613,0.14152,0.352547,17.612861,0.782813,5.241508,0.47489,0.167249,0.108184,0.068754,,
244,13847864280,0.151218,0.475538,17.922944,0.792975,5.502193,0.626493,0.266438,0.109284,0.068542,,
245,13884869877,0.589543,0.770496,19.531807,0.735739,5.196269,0.626986,0.225173,0.112634,0.114992,,
246,13918375615,0.275198,0.73603,18.023648,0.785485,5.114054,0.470441,0.16661,0.159461,0.116716,,
247,13949920896,0.277139,0.754445,17.58234,0.764787,5.171886,1.615293,0.910596,0.109742,0.068358,,
248,13985721239,0.217146,0.63302,19.635072,0.765314,5.264016,1.6078,0.92684,0.434102,0.272851,,
249,14021461612,0.180194,0.42747,5.960846,0.25534,4.017784,1.25804,0.67954,0.433382,0.291261,,
250,14040759530,0.183336,0.333606,6.768572,0.337602,3.924862,2.996807,1.383888,0.406476,0.464482,,
251,14076776951,0.286999,0.751676,6.071071,0.246739,3.903891,1.575189,1.201185,0.503906,1.0965,,
252,14107836793,0.219015,0.617614,6.116641,0.295686,4.700801,1.238693,0.888628,0.470371,0.287011,,
253,14141599791,0.192652,0.37261,6.133308,0.246752,4.882443,1.600982,0.738064,0.459291,0.279698,,
254,14175489503,0.325769,0.953308,6.301986,0.246603,4.652269,1.675702,0.649129,0.470337,0.290975,,
255,14210923261,0.196235,0.364774,6.688858,0.331741,4.533293,1.576992,0.628448,0.502489,0.29385,,
