Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,convertor
160,818176712,,,94.027935,,0.054464,0.07888,,,,,,,
161,818438791,,,92.815843,,0.055136,0.064479,,,,,,,
162,818687719,,,91.916581,,0.05152,0.053216,,,,,,,
163,819045766,,,84.033367,,0.056992,0.100032,,,,,,,
164,819309893,,,84.130456,,0.05616,0.059039,,,,,,,
165,819573061,,,84.174583,,0.057792,0.057792,,,,,,,
166,819841988,,,84.251319,,0.050208,0.055264,,,,,,,
167,820082148,,,83.933784,,0.051167,0.052032,,,,,,,
168,820335907,,,83.963736,,0.049952,0.06416,,,,,,,
169,820566466,,,83.984503,,0.051392,0.0504,,,,,,,
170,820813378,,,83.996504,,0.051712,0.063104,,,,,,,
171,821105057,,,84.070071,,0.060192,0.08176,,,,,,,
172,821380512,,,84.102712,,0.067008,0.073215,,,,,,,
173,821634048,,,84.153271,,0.05008,0.051296,,,,,,,
174,821868991,,,84.175479,,0.052544,0.052864,,,,,,,
175,822115871,,,84.211479,,0.048128,0.061408,,,,,,,
176,822354462,,,84.248151,,0.06896,0.056192,,,,,,,
177,822661597,,,84.306135,,0.056352,0.092415,0.141216,,,120.719904,,,
178,823680059,,,,,,,,,,12.467874,,,
179,824056634,,,,,,,,,,11.679364,,,
180,824423609,,,,,,,,,,10.902502,,,
181,825230455,,,87.340496,,0.062431,0.072128,,2.65897,0.062527,9.95748,0.806846,0.270048,
182,826200533,,,87.422543,,0.06096,0.065312,,,,,,,
183,826499348,,,87.493743,,0.061696,0.073088,0.06384,0.265599,0.051552,,,,
184,827208755,,,76.431978,,0.061151,0.068576,,,,,,,
185,827491154,,,76.392426,,0.057728,0.063232,,,,,,,
186,827795153,0.137311,0.158112,76.355657,0.085248,0.057952,0.088032,0.054688,2.371962,,4.47903,,,
187,830565355,0.099488,0.11168,,0.073823,,,,,,,,,
188,830351883,0.06832,0.08864,78.71146,0.076096,0.062336,0.07552,,,0.072128,3.911863,,,
189,831478920,,,78.596932,,0.058272,0.057312,,,,,,,
190,831752104,,,78.490341,,0.057376,0.062976,0.069311,0.25984,0.047008,,,,
191,832444294,,,58.226773,,0.04992,0.056992,,,,,,,
192,832706469,,,58.06463,,0.049568,0.079231,,,,2.381562,,,
193,833015973,,,58.018262,,0.073663,0.089024,0.055712,0.24544,0.043008,,,,
