Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
169,938480063,,,58.527767,,0.099837,0.150236,0.100541,0.669164,0.075486,1.936039,0.364533,0.235801,,
170,940128302,,,58.934667,,0.115613,0.115133,,,,,,,,
171,940635135,,,59.213315,,0.104573,0.102141,,,,,,,,
172,940931606,0.081598,0.187866,39.102392,0.065822,0.103677,0.233401,0.090653,0.590479,0.08067,1.947014,0.408532,0.676332,15.62488,
173,942522695,0.035967,0.040063,,0.025759,0.178075,,,,,,,,,
174,942646724,0.028383,0.033183,39.469486,0.038207,0.058527,0.071069,,,,,,,,
175,942956506,,,39.590314,,0.047071,0.050974,,,,,,,,
176,943203795,,,39.388368,,0.047167,0.051774,,,,,,,,
177,943422925,,,39.491756,,0.047806,0.049311,,,,,,,,
178,943648742,,,38.841791,,0.049758,0.052159,,,,,,,,
179,943867455,,,37.849949,,0.053887,0.048958,,,,,,,,
180,944138679,,,37.859037,,0.052703,0.061982,,,,2.661681,0.166747,,,
181,944530252,,,34.765721,,0.051262,0.083006,,,,,,0.132316,,
182,944840642,,,34.563423,,0.048415,0.052446,,,,,,,,
183,945063996,,,34.638204,,0.053694,0.053311,,,,,,,,
184,945294293,,,34.292935,,0.049471,0.05171,,,,,,,,
185,945510639,,,34.362309,,0.04851,0.046975,,,,,,,,
186,945760679,,,34.485633,,0.046495,0.052478,,,,,,,,
187,945972897,,,34.550847,,0.046079,0.047423,,,,,,,,
188,946186555,,,34.629885,,0.045086,0.046559,,,,,,,,
189,946401940,,,34.707451,,0.049695,0.049246,,,,,,,,
190,946657581,,,34.819255,,0.049662,0.051487,,,,,,,,
191,946891366,,,34.699163,,0.051358,0.067742,,,,,,,,
192,947111807,,,34.814744,,0.046879,0.049566,,,,,,,,
193,947328185,0.059774,0.049918,34.885973,0.036959,0.05203,0.050943,,,,,,,,
194,947565906,0.026816,0.037023,34.99461,0.025343,,0.095101,,,,,,,,
195,947752620,0.024575,0.068094,35.176589,0.049534,0.126684,0.277463,,,,,,,,
196,948401433,,,35.548706,,0.07651,0.053598,,,,,,,,
197,948666033,,,35.686589,,0.055103,0.054686,,,,,,,,
198,948901258,,,35.492931,,0.052479,0.051231,,,,,,,,
199,949162178,,,35.119086,,0.051998,0.052575,,,,,,,,
200,949394683,,,35.10203,,0.051966,0.052447,,,,,,,,
201,949625173,,,35.163821,,0.052414,0.047678,,,,,,,,
202,949842414,,,35.163181,,0.048543,0.048703,,,,,,,,
203,950063496,,,35.237643,,0.049086,0.046078,,,,,,,,
204,950282401,,,35.31796,,0.048127,0.048959,,,,,,,,
205,950525978,,,35.378695,,0.070654,0.050206,,,,,,,,
206,950759987,,,37.539719,,0.048479,0.05923,0.135324,1.759564,0.073438,,,,,
207,953087598,,,37.645411,,0.051518,0.082685,,,,,,,,
208,953341830,,,37.728768,,0.049503,0.049343,,,,,,,,
209,953502946,,,11.629735,,0.047486,0.051615,0.064287,0.219161,0.037759,,,,,
210,954138511,,,11.549994,,0.05123,0.048606,,,,,,,,
211,954353320,,,11.622407,,0.048383,0.048895,,,,,,,,
212,954489220,,,,,0.045471,,0.041534,,,4.139813,,,,
213,957382702,,,10.233841,,0.066334,0.064286,,2.893482,0.070878,3.386683,0.441811,0.143548,,
214,958046331,,,10.360428,,0.054942,0.057631,,,,,,,,
215,958285620,,,10.426539,,0.050494,0.050079,0.050271,0.227961,0.040639,1.803979,0.133468,0.134044,,
216,960480627,0.220761,0.394037,0.059967,0.139067,,,,,,1.715309,0.110333,0.118716,,
217,976774351,0.035455,0.057023,,0.04579,0.057342,0.081245,,,,,,,,
218,976954634,0.025183,0.032351,0.07795,0.061054,0.066046,0.041023,,,,,,,,
219,977201091,,,0.118557,,0.037854,0.041631,0.075326,0.22265,0.034687,2.039619,0.166171,0.175099,,47.731992
220,991899055,0.126845,0.145595,0.116829,0.060158,,,,,,,10.354797,,,
221,992329090,0.05075,0.172091,,0.040575,0.189946,0.107453,,,,,,,,
222,992671128,0.037599,0.041919,0.13942,0.048927,0.070078,0.054014,,,,,,,,
223,992977359,0.098685,0.122141,0.186298,0.047742,0.051998,0.051455,,,,,,,,
224,997910140,0.033983,0.041023,,0.031167,,,,,,,,,,
225,998061080,0.029247,0.037759,0.28796,0.028127,0.056158,0.096381,,,,,,,,
226,998451820,,,0.438387,,0.055103,0.072126,,,,,,,,
227,998683109,0.081661,9.444168,0.54856,0.160155,0.071998,0.045342,,,,,,,9.692544,
228,1010099795,0.061918,0.062047,0.283064,0.046878,0.156892,0.113884,,,,,,,,
