Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
163,13812675035,0.074454,38.631608,6.734983,32.677027,0.725594,5.795191,0.629839,0.353646,0.159889,0.074275,,
164,13854830589,0.116277,10.956979,6.904751,32.158887,0.812522,6.001572,0.617838,0.350334,0.165632,0.074652,,
165,13897549861,0.120973,17.260432,6.8989,32.080335,0.77656,5.959483,0.738185,0.375506,0.157849,0.071417,,
166,13939827588,0.085804,30.655544,,32.042147,0.791305,5.721793,,,,,,
167,13947167099,0.035879,,6.873576,,,,0.826413,0.358992,0.16589,0.073409,,
168,13982490339,0.086371,39.206489,6.941266,32.449261,0.795291,5.750665,0.628305,0.595795,0.200227,0.072678,,
169,14025230235,0.077419,13.138406,7.235374,32.493905,0.77165,5.761,0.624434,0.35702,0.596611,0.181261,,
170,14067775867,0.128049,19.62701,6.841635,31.889734,0.778053,5.971078,1.11551,0.396746,0.125739,0.070132,,
171,14110049976,0.118619,31.884261,,32.097932,0.741277,,,,,,,
172,14116516219,0.112182,,6.88984,,,5.724966,0.546743,0.408815,0.164206,0.073068,,
173,14152674447,0.086795,40.885133,6.838562,32.51165,0.789991,5.813477,1.038154,0.484142,0.164954,0.074415,,
174,14195283619,0.07447,15.263824,7.033871,32.44895,0.901456,5.847205,0.623771,0.457694,0.175132,0.075,,
175,14238659752,0.132061,22.42318,6.870501,32.755651,0.782723,5.738108,0.595983,0.395583,0.171315,0.070592,,
176,14281354894,0.117191,,,32.524175,0.800053,,,,,,,
177,14284680329,0.110261,29.147498,6.965971,,,5.770245,0.616721,0.376481,0.157629,0.071714,,
178,14323403407,0.115684,8.982984,7.10701,31.757107,0.750108,5.946003,0.620355,0.456606,0.161063,0.073821,,
179,14366196682,0.116623,17.860303,6.927807,32.308378,0.802973,5.842701,0.739101,0.381752,0.160364,0.07108,,
180,14408891207,0.076968,24.792617,7.147472,32.512924,0.782354,5.91148,0.612514,0.378353,0.168684,0.102603,,
181,14451388317,0.075003,,,31.959338,0.804199,,,,,,,
182,14454700715,0.107114,31.113971,6.884363,,,5.938125,0.669394,0.863238,0.268846,0.105211,,
183,14493910256,0.115472,10.806883,6.840478,32.325178,0.780571,5.944923,0.625762,0.379115,0.16632,0.071252,,
184,14536380873,0.082045,19.548227,6.816467,32.070078,0.890287,6.072068,1.165177,0.452966,0.16594,0.090165,,
185,14580350260,0.12576,28.009752,6.694044,33.630184,0.760114,5.884114,0.683851,0.398417,0.150879,0.118662,,
186,14622541015,0.077958,32.430696,,32.275401,0.830498,,,,,,,
187,14629227943,0.078269,,6.884684,,,5.85643,0.555766,0.390668,0.16432,0.071742,,
188,14664948379,0.086134,40.902527,7.303,32.197574,0.806971,6.046806,0.621933,0.393654,0.162602,0.070865,,
189,14707580824,0.086385,21.82928,6.765245,31.89131,0.773548,5.859864,0.619989,0.454892,0.155104,0.074702,,0.281459
190,14752532775,0.112369,32.333526,,34.727621,0.784731,6.576385,,,,,,
191,14761262384,0.101955,,,,,,1.368493,0.343329,0.140269,0.068561,,
192,14762300845,,,,,,,,,0.064784,0.092886,,
193,14763115447,0.127723,37.946827,6.730456,32.604343,0.751448,6.118329,0.651552,0.469411,0.187032,0.119499,,
194,14803506702,0.086902,17.325941,6.885578,32.829574,0.834407,6.040855,0.621013,0.482349,0.181062,0.074281,,
195,14846463133,0.105711,28.609684,7.00432,34.864289,0.729194,5.965593,0.787467,0.421992,0.141594,0.104855,,
196,14891886259,0.069411,,7.920789,,,,,,0.394846,0.11002,,
197,14929146741,0.081149,40.81405,7.805751,34.455481,0.835595,6.113976,0.625266,0.401726,0.160116,0.073092,,
198,14976174404,0.080683,16.2119,6.718898,35.773193,0.746913,5.932581,0.678197,0.403648,0.167358,0.12584,,
199,15021840229,0.104161,33.065709,,35.302708,0.737784,,,,,,,
200,15029799399,0.096122,,7.013711,,,7.221386,0.689711,0.451239,0.172465,0.073278,,
201,15068910297,0.086149,46.832764,6.956101,35.578224,0.788875,7.432378,0.605214,0.456401,0.139493,0.105255,,
202,15116540852,0.079737,25.418697,6.835366,35.794051,0.793302,6.940382,0.62086,0.436806,0.135026,0.104918,,
203,15163755024,0.079954,,,35.61814,0.778849,,,,,,,
204,15168213241,0.075829,36.199716,7.4488,,,5.957591,0.713487,0.445145,0.137206,0.101658,,
205,15211340025,0.111225,18.8287,8.108906,35.677984,0.73328,5.996754,0.71872,0.495638,0.139466,0.093553,,
206,15258274761,0.08739,32.031127,,35.436115,0.790876,,,,,,,
207,15265098430,0.109875,,7.910385,,,6.032793,0.633377,0.406893,0.152368,0.070985,,
208,15303345649,0.123606,42.960749,6.90005,33.817064,0.769166,6.090395,0.628851,0.93654,0.225959,0.072775,,
209,15345950158,0.122868,13.795123,7.009618,32.358764,0.750757,6.002583,0.628178,0.414707,0.24423,0.07571,,
210,15388917621,0.115869,27.437964,,32.534841,0.777191,6.173834,1.199716,0.513076,0.134416,0.100432,,
211,15399421255,0.043734,,7.212178,31.946754,0.729369,,,,,,,
212,15434812225,0.076943,36.400478,6.880686,,,6.24146,0.687601,0.452993,0.139729,0.104297,,
213,15474355489,0.07693,10.362141,6.854446,32.662578,0.799569,6.03077,0.635662,0.442877,0.137345,0.142981,,
214,15516921003,0.119631,16.7905,7.28634,32.242252,0.755637,6.212589,0.707072,0.418993,0.137724,0.117169,,
215,15559431401,0.079648,22.911311,,31.828993,0.787491,5.952183,0.634793,,,,,
216,15567470295,0.035972,,6.967254,,,,,0.664427,0.172408,0.073886,,
217,15602147144,0.112808,38.259217,6.943333,32.559734,0.820091,6.112772,0.631086,0.409732,0.168179,0.096933,,
218,15645213367,0.111599,13.132368,7.174017,32.712087,0.74216,6.117112,0.629324,0.405967,0.179273,0.093507,,
219,15687577178,0.124611,19.308058,6.817872,31.709481,0.752006,5.991101,1.259096,0.554415,0.142971,0.076467,,
220,15729833485,0.124235,25.621178,,32.218338,0.758385,6.068734,,,,,,
221,15737438549,0.036595,,6.820136,,,,0.777945,0.410944,0.166393,0.07047,,
222,15772145883,0.085666,38.593964,6.761391,32.182944,0.769552,5.886294,1.141192,0.519563,0.168339,0.074882,,
223,15814440534,0.077389,14.201881,6.810365,32.172781,0.835794,6.041974,0.625224,0.41758,0.168709,0.155868,,
224,15856897895,0.080086,20.650815,6.682681,32.162,0.763549,6.072864,1.143039,0.42858,0.131079,0.069662,,
225,15899375537,0.077854,27.005518,,32.54156,0.753816,5.971393,,,,,,
226,15906900568,0.03587,,6.987978,,,,0.799822,0.411705,0.165129,0.071784,,
227,15941987478,0.145353,38.9536,6.846777,32.430036,0.702609,6.197214,0.622702,0.411043,0.181163,0.0892,,
228,15984494028,0.104639,15.37084,7.178217,32.338901,0.7817,6.323596,0.629439,0.414046,0.175899,0.071029,,
229,16027397814,0.115002,23.136748,6.88997,32.229283,0.762444,6.032126,0.602625,0.42085,0.137246,0.071091,,
230,16069999476,0.115499,29.827678,,32.461828,0.767524,6.820626,0.618391,0.343476,0.14186,0.07211,,
231,16080023653,0.101315,,6.724064,,,,,,0.123446,0.091924,,
232,16081011397,0.113438,36.360028,,32.417809,0.803139,6.26762,0.628392,0.459788,0.154789,0.116596,,
233,16120944215,0.088391,21.049668,6.87675,36.157563,0.856089,6.995863,0.68054,0.453283,0.178537,0.106225,,
