Frame,ts,capsfilter0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,pay0
170,30177117745,0.048938,2.056332,11.558777,0.239779,,0.151909
171,30199835069,0.045024,6.517599,13.374648,0.291019,9144.50172,0.250603
172,30465725355,0.077106,2.128169,10.670241,0.238471,,0.147076
173,30956357221,0.084962,2.388606,9.751741,0.25414,,0.166296
174,31047651875,0.049325,2.167129,9.232414,0.282258,,0.122382
175,31067700292,3.956516,2.204569,9.39563,0.252403,9069.664966,0.210393
176,31649279332,0.048788,1.999193,10.36463,0.232345,,0.158947
177,31722056511,0.04638,2.131252,10.061421,0.231627,,0.165328
178,31924916466,0.049955,3.688335,13.385511,0.238303,,0.15725
179,32175710105,0.045336,3.741286,9.115322,0.238213,8974.342023,0.215251
180,32367571672,0.045193,3.815992,9.509517,0.24165,,0.161683
181,32724376750,0.075763,2.046413,10.070983,0.236112,,0.16544
182,32783566231,0.131578,1.891076,11.310046,0.231164,,0.163569
183,32823461396,0.04577,2.115812,9.728487,0.235546,9234.07158,0.254559
184,33329910099,0.046032,2.114399,10.723795,0.237808,,0.159094
185,33582375866,0.075726,2.16653,17.234328,0.242577,,0.162547
186,33634074814,0.08052,2.100738,10.777029,0.257081,,0.156862
187,33850010375,0.045996,2.160627,16.134149,0.230608,9202.194851,0.214922
188,34104783830,0.073545,2.039107,10.849357,0.204591,,0.159476
189,34330714202,0.047223,2.131076,10.384794,0.22839,,0.153753
190,34474745116,0.04992,2.174049,11.180632,0.230522,,0.157054
191,34643498740,0.047212,2.105576,19.81603,0.237814,9205.355499,0.214118
192,34930168542,0.045758,2.101691,9.6173,0.237314,,0.157262
193,35037278567,0.076984,2.114024,9.343321,0.224552,,0.169169
194,35262287043,0.049747,2.122478,13.329266,0.262792,,0.12567
195,35413840524,0.044197,2.136991,9.179326,0.259635,9536.565289,0.690616
196,35916713473,0.165155,6.69121,32.214082,1.853024,,0.496067
197,35992033858,0.200908,6.755121,30.867803,0.80238,,0.466847
198,36058729792,0.164487,6.977603,55.079905,0.833816,,0.470138
199,36634662508,0.180928,6.744382,30.482351,1.053425,9371.857449,0.777544
200,36692051160,0.199484,6.721432,30.536091,0.811979,,0.460979
201,36743107455,0.167853,6.618238,30.489009,0.785642,,0.486205
202,37234739269,0.181041,8.760564,32.527921,0.935896,,0.535489
203,37304052724,0.184509,9.251051,41.43833,1.976878,9162.691557,0.212088
204,37359801722,0.047651,2.057131,11.423726,0.268434,,0.12656
205,37633398624,0.045536,2.077364,9.594905,0.235648,,0.154982
206,38097393131,0.078991,2.048701,13.38164,0.273365,,0.123653
207,38119856893,0.086826,2.050503,10.236816,0.236541,9300.291614,0.212782
208,38187908400,0.075453,2.041788,9.28186,0.238076,,0.157662
209,38848559001,0.045766,2.075933,18.005424,0.238666,,0.179255
210,39041330245,0.046573,2.08416,11.71699,0.228127,,0.167113
211,39060378220,0.045172,2.057351,9.95425,0.238266,10005.179849,0.256642
212,39790674053,0.04589,2.132735,9.725239,0.24363,,0.126643
213,39869813699,0.045148,2.160965,9.497216,0.266815,,0.129496
214,40024633162,0.047343,2.083796,10.418614,0.22633,,0.157628
215,40380279597,0.045178,2.115096,11.687874,0.233968,9920.300402,0.209849
216,40399645323,0.044995,2.109817,9.729513,0.301643,,0.160796
217,40633231318,0.046916,2.034825,10.368728,0.243616,,0.126494
218,40978460897,0.046877,2.394868,11.609666,0.224479,,0.144529
219,40997197698,0.046844,2.03774,12.213922,0.316658,9985.079219,0.757389
220,41653793332,0.167841,6.783835,30.718873,0.818267,,0.440167
221,41727674767,0.190977,6.733652,34.690668,0.778275,,0.4784
222,41783052541,0.18285,6.720493,30.80007,0.859092,,0.477997
223,42324315950,0.152624,6.8187,35.544853,0.801321,9998.012542,0.668615
224,42384003822,0.184523,6.753155,39.414005,0.764607,,0.475879
225,42452698424,0.181443,14.475589,34.361325,0.771851,,0.530609
226,42942664707,0.192022,6.95347,35.821263,0.77587,,0.491928
227,43189373778,0.166918,6.729732,31.599779,0.980414,9894.46848,0.670409
228,43243915610,0.166547,6.691481,30.567999,0.778892,,0.46505
229,43296177012,0.169614,7.427753,30.890842,0.767809,,0.508594
230,43543883393,0.188791,6.893917,39.450718,0.966543,,0.509109
231,43726432424,0.203401,6.876583,30.889688,0.815922,9896.941696,0.697865
232,44025724682,0.185484,10.820382,31.201251,0.894887,,0.490437
233,44263329312,0.229369,13.568704,30.804218,0.768518,,0.506831
234,44438938918,0.202951,8.385335,63.76431,0.821521,,0.463623
235,44523274828,0.18875,6.70021,30.785461,0.77183,9791.348432,0.749535
236,44742150891,0.292461,6.957508,30.84508,0.944384,,0.475053
237,45219903330,0.163785,6.657483,30.772977,0.794372,,0.468131
238,45372593878,0.188466,6.785881,42.328351,0.811117,,0.481812
239,45439526527,0.208411,9.487291,40.698307,0.781437,9866.373953,1.414186
240,45826463116,0.194682,6.590688,37.047848,0.817428,,0.482836
241,45892015806,0.184043,7.892515,32.824415,1.460497,,0.479786
242,46090559953,0.169924,24.800767,9.334566,0.241994,,0.160376
243,46315153902,0.046724,2.265496,12.039994,0.23876,9796.694347,0.212187
244,46522800572,0.045812,2.1227,12.181287,0.238775,,0.150281
245,46846747683,0.046811,2.13881,12.629161,0.23875,,0.12673
246,46903524358,0.044424,2.219043,11.823064,0.229044,,0.158288
