Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,queue1,pay0
172,36618036767,0.031274,809.641084,7.212878,34.178476,0.756259,,0.516184,0.236762
173,36673224213,0.120063,135.283251,6.876635,30.781783,0.775623,,6.141375,0.226018
174,37288144538,0.241199,669.85044,8.311631,30.594548,0.789762,11346.478359,0.369467,0.272039
175,37341956521,0.122014,669.218999,6.832671,30.688113,0.747092,,1.701704,0.224003
176,37392237439,0.129051,104.770997,6.72681,31.137528,0.808642,,0.343536,0.337474
177,37743979702,0.243782,402.278829,12.446185,39.349231,0.773857,,0.390272,0.246223
178,37916295093,0.24146,517.905182,19.470093,34.191322,0.791747,11148.555492,0.429654,0.238042
179,38090392518,0.122402,341.113096,12.816042,36.204256,0.793019,,0.622256,0.24954
180,38339257567,0.157068,417.233412,14.349228,45.821801,0.801262,,0.397672,0.232509
181,38530105874,0.201976,439.135595,12.06072,33.207263,0.26793,,0.372166,0.236
182,38581910294,0.251969,240.107817,2.07424,13.264827,0.269606,11227.908093,2.565008,0.22186
183,38931567887,0.265764,397.027177,2.077669,10.492906,0.237025,,7.366653,0.216984
184,39125889260,0.281701,542.381654,2.192713,9.961612,0.29236,,4.639492,0.217461
185,39240400270,0.258313,309.040487,2.123481,9.28195,0.239434,,0.256313,0.288113
186,39256602144,0.319273,131.020415,2.101728,10.113493,0.237554,11131.614774,0.264477,0.191332
187,39670620668,0.25162,428.860014,2.043067,15.897639,0.237231,,11.875178,1.908225
188,40010466401,0.263237,752.279847,2.139992,10.910867,0.260838,,1.560524,0.447745
189,40096032183,0.122428,425.070085,2.478362,9.380767,0.228082,,0.525222,0.759724
190,40113901885,0.118469,103.194456,2.140924,13.332101,0.238095,10337.903636,0.573371,0.711403
191,40513482288,0.133311,413.923293,2.162994,9.272675,0.235472,,1.996081,0.702161
192,40808875734,0.108254,692.943321,2.243,17.382386,0.247002,,0.557387,0.757601
193,40896969238,0.125487,381.130829,2.193332,9.353299,0.231776,,0.522935,0.776881
194,40916881360,0.109275,105.97781,2.324705,9.325021,0.226027,9957.654519,0.543049,0.92984
195,41308790898,0.140638,408.294701,2.331837,9.363081,0.260325,,2.080233,4.883603
196,41626715359,0.040363,707.500508,3.884534,13.132223,0.248478,,0.509019,2.867842
197,41716857279,0.095889,406.771736,2.252478,11.801461,0.232434,,0.499558,0.8545
198,41735340760,0.030173,108.625401,2.082117,10.474681,0.281489,10678.342989,0.503528,0.725227
199,42855559990,0.032657,1132.081604,2.095098,14.063575,0.235417,,2.071555,0.706068
200,42957115143,0.070674,1221.620961,5.42169,10.544491,0.22317,,0.493355,0.907786
201,43106106253,0.067222,249.540269,2.149612,10.051496,0.399978,,0.569973,0.746981
202,43459342382,0.094321,498.497316,2.233635,10.181854,0.229196,10767.85471,0.492002,0.763223
203,43574688076,0.046704,463.088557,2.117945,12.03376,0.238181,,2.011661,0.929717
204,44056402719,0.097457,590.291829,2.156998,16.029722,0.270587,,0.565059,0.756771
205,44246765369,0.037553,671.010556,2.164765,11.382915,0.235969,,0.519074,0.73984
206,44265076673,0.029566,203.367364,2.108875,9.950279,0.257455,10783.805036,0.537063,0.841632
207,45043806449,0.06844,793.037707,2.083742,11.78023,0.225338,,1.91822,0.696811
208,45129361662,0.106189,864.143864,2.156564,9.304491,0.230601,,0.490229,0.867708
209,45391711771,0.118438,341.720145,2.147118,9.326604,0.229444,,0.477029,0.702379
210,45799015145,0.124707,667.49317,2.444466,10.47673,0.266168,10369.662716,0.53649,0.739053
211,45817888657,0.099843,422.950479,2.110943,11.431157,0.233309,,1.828657,0.396697
212,45835255997,0.119742,34.205771,2.143697,13.633767,2.492392,,0.540033,0.88117
213,46509529760,0.121748,689.754218,2.183083,11.300965,0.223565,,0.623159,0.807973
214,46526811401,0.083407,689.520399,2.140556,9.808618,0.236448,9967.689837,0.280402,0.382622
215,46545722595,0.067573,32.61286,2.493116,9.712606,0.236102,,2.057771,0.727905
216,47232263689,0.068618,703.992829,2.231203,17.642556,0.288279,,0.579424,0.786329
217,47376830315,0.068352,830.797125,2.176696,9.78288,0.235378,,0.513039,0.780683
218,47440466075,0.066964,202.408095,2.253844,10.63418,0.232205,10915.317503,0.553984,0.888472
219,48297714371,0.066514,914.154087,2.522639,10.101781,0.275759,,2.054208,0.699027
220,48395390441,0.068946,949.390702,2.149588,11.532549,0.261581,,0.508044,0.761888
221,48536026617,0.071069,237.923817,7.235649,35.516225,0.783617,,2.713557,0.269201
222,48962749065,0.03331,561.049206,7.152851,30.530192,0.76815,10881.93055,0.358318,0.235977
223,49023825186,0.034259,487.834594,7.058582,35.014364,0.801786,,0.635531,0.254169
224,49083103896,0.061341,120.101681,7.126214,34.705846,0.875476,,0.440808,0.244384
225,49539966836,0.034142,515.934949,10.065037,38.514233,0.837467,,0.393009,0.23428
226,49604021529,0.10914,520.570367,7.155179,34.132851,0.807528,10753.408245,0.358573,0.265627
227,49698166475,0.034247,158.008432,6.990866,35.335656,0.775281,,0.864921,0.577426
228,50034538792,0.032637,424.789936,7.154751,40.142966,0.765672,,0.394005,0.276616
229,50246196061,0.032883,547.844088,6.988533,45.427239,0.257908,,0.396847,0.236709
230,50305908458,0.02962,271.629919,2.082811,10.470017,0.222043,11061.70238,2.931666,0.216594
231,50752230127,0.276254,503.67856,2.040596,9.314769,0.259193,,6.774405,0.411817
232,50838454044,0.124057,531.272682,2.136909,9.23924,0.265019,,1.051032,0.777641
233,50944958083,0.116319,190.439869,2.19542,9.471035,0.240799,,0.510462,0.846961
234,51296758027,0.146362,456.161198,2.182224,9.707815,0.267174,10939.845926,0.534811,1.475236
235,51464655222,0.094899,516.77669,2.097963,9.286458,0.230196,,1.368101,0.687898
236,51750363128,0.125094,452.097833,2.132617,9.162635,8.332074,,0.529312,0.749593
237,51859243120,0.119173,392.620864,3.408193,12.34181,0.273424,,0.482796,0.933385
238,51879694578,0.109785,127.294753,6.370873,9.125834,0.232849,10958.785079,0.540194,0.74291
239,52280326637,0.139957,417.798669,2.366987,9.383515,0.223398,,2.598287,0.689882
240,52622144638,0.137091,740.482903,2.143545,11.461563,0.264209,,0.480875,0.71211
241,52672688381,0.131231,389.704702,2.193867,10.154773,0.278349,,0.5275,0.824611
242,52755140933,0.125923,130.991789,2.136953,11.4317,0.233777,10347.591776,0.511777,0.761096
243,53219438016,0.166011,543.511095,2.067719,9.161708,4.358943,,1.666436,0.714156
244,53314597490,0.143079,556.586952,5.15176,9.178473,0.449731,,0.589171,0.778899
245,53525188319,0.131371,303.275002,2.100753,9.284617,0.229957,,0.554916,0.835346
246,53759265709,0.123217,443.32735,2.129091,9.54068,0.259845,10386.430058,0.491575,1.027311
247,53975162274,0.122177,447.041687,2.036434,9.278899,0.333787,,1.406256,0.748522
248,54080931107,0.135717,319.311077,2.15904,9.178626,0.206513,,0.511824,0.761253
249,54373910723,0.117641,396.460184,2.137065,9.266218,0.234857,,0.575155,0.76958
250,54447193360,0.135538,363.963899,2.152082,9.300657,0.245503,9910.672263,0.583825,0.750091
251,54975580904,0.179616,592.14212,11.072668,30.142852,0.816029,,8.677381,0.739695
252,55045818465,0.125437,592.752106,9.375499,34.580031,0.806917,,4.817477,0.62501
253,55107831396,0.103973,131.833485,6.930245,42.890171,0.791305,,0.644261,0.678057
254,55349721726,0.071076,299.385357,12.448652,37.025168,0.829876,9813.158502,3.745251,0.149823
255,55644123136,0.071625,536.726481,7.125571,35.143743,0.797587,,0.620757,0.224346
256,55879159970,0.032723,529.369494,7.107084,23.673703,0.261098,,0.445222,0.234725
257,56213030796,0.031287,564.666789,2.150424,10.139789,0.230594,,6.909739,0.26075
258,56305158783,0.27891,423.653281,2.133212,12.062427,0.307399,9955.596364,4.007127,0.46932
259,56513986908,0.10661,294.064076,2.548642,12.462471,0.239906,,2.016032,0.700573
260,56611854220,0.162979,305.395323,2.174117,13.234915,0.26365,,0.51852,0.714508
261,56989073457,0.137902,472.779433,2.212333,11.245088,0.267457,,0.544962,0.800017
262,57250631720,0.125853,636.706881,2.211308,11.423102,0.243344,9030.527752,0.560004,0.774062
263,57342558184,0.10697,349.332649,11.621753,30.279493,0.81913,,3.223835,7.737801
264,57437914555,0.140033,179.047405,15.075653,30.75562,0.812442,,7.153476,0.913744
265,57597881360,0.122535,249.179969,17.864164,10.693046,0.270348,,6.260685,0.719271
